timestamp,sleepStage
1582448010,N2
1582448040,N2
1582448070,N2
1582448100,N2
1582448130,N2
1582448160,N2
1582448190,N2
1582448220,N2
1582448250,N2
1582448280,N2
1582448310,N2
1582448340,N2
1582448370,N2
1582448400,N2
1582448430,N2
1582448460,N2
1582448490,N2
1582448520,N2
1582448550,N2
1582448580,N2
1582448610,N2
1582448640,N2
1582448670,N2
1582448700,N2
1582448730,N2
1582448760,N2
1582448790,N2
1582448820,N2
1582448850,N2
1582448880,N2
1582448910,N3
1582448940,N3
1582448970,N3
1582449000,N3
1582449030,N3
1582449060,N3
1582449090,N3
1582449120,N3
1582449150,N3
1582449180,N3
1582449210,N3
1582449240,N3
1582449270,N3
1582449300,N3
1582449330,N3
1582449360,N2
1582449390,N2
1582449420,N2
1582449450,N2
1582449480,N2
1582449510,N2
1582449540,N2
1582449570,N2
1582449600,REM
1582449630,REM
1582449660,REM
1582449690,REM
1582449720,REM
1582449750,REM
1582449780,REM
1582449810,REM
1582449840,REM
1582449870,REM
1582449900,REM
1582449930,REM
1582449960,REM
1582449990,REM
1582450020,REM
1582450050,REM
1582450080,REM
1582450110,REM
1582450140,REM
1582450170,REM
1582450200,REM
1582450230,REM
1582450260,REM
1582450290,REM
1582450320,REM
1582450350,REM
1582450380,REM
1582450410,REM
1582450440,REM
1582450470,REM
1582450500,REM
1582450530,REM
1582450560,REM
1582450590,REM
1582450620,REM
1582450650,REM
1582450680,REM
1582450710,REM
1582450740,REM
1582450770,REM
1582450800,REM
1582450830,REM
1582450860,REM
1582450890,REM
1582450920,REM
1582450950,REM
1582450980,REM
1582451010,REM
1582451040,REM
1582451070,REM
1582451100,REM
1582451130,REM
1582451160,REM
1582451190,REM
1582451220,REM
1582451250,REM
1582451280,REM
1582451310,REM
1582451340,REM
1582451370,REM
1582451400,REM
1582451430,REM
1582451460,REM
1582451490,REM
1582451520,REM
1582451550,REM
1582451580,REM
1582451610,REM
1582451640,REM
1582451670,REM
1582451700,REM
1582451730,REM
1582451760,REM
1582451790,REM
1582451820,REM
1582451850,REM
1582451880,REM
1582451910,REM
1582451940,REM
1582451970,REM
1582452000,REM
1582452030,REM
1582452060,REM
1582452090,REM
1582452120,REM
1582452150,W
1582452180,W
1582452210,W
